ROW,LAYER,BEAT 1,BEAT 2,BEAT 3,BEAT 4,BEAT 5,BEAT 6,BEAT 7,BEAT 8,BEAT 9,BEAT 10,BEAT 11,BEAT 12,BEAT 13,BEAT 14,BEAT 15,BEAT 16,BEAT 17,BEAT 18,BEAT 19,BEAT 20
,,,,,,,,,,,,,,,,,,,,,
Symbol,Definition,Musical Equivalent,Psychological Equivalent,,,,,,,,,,,,,,,,,,
Tr / Bs,Treble / Bass,The Clefs (High / Low registers).,Tr: Conscious Thought / Bs: Unconscious Drive.,,,,,,,,,,,,,,,,,,
"A4, C#5, D2",Scientific Pitch,Note Name + Octave Number. (C4 is Middle C).,"The specific frequency of the ""Signifier.""",,,,,,,,,,,,,,,,,,
--,Sustain / Legato,Holding the note smoothly.,Continuity: The Ego maintaining a smooth surface.,,,,,,,,,,,,,,,,,,
..,Tremolo / Staccato,"Rapid repetition or short, detached notes.",Anxiety: High-frequency oscillation / Nervousness.,,,,,,,,,,,,,,,,,,
>,Accent,Play the note louder/harder.,Trauma: A sudden spike in force (The Real).,,,,,,,,,,,,,,,,,,
sfz,Sforzando,Suddenly forced/loud attack.,Rupture: A violent break in the flow.,,,,,,,,,,,,,,,,,,
_dim7,Chord Quality,Diminished 7th Chord (Stacked minor 3rds).,Ambiguity: Total lack of tonal center (Horror/Confusion).,,,,,,,,,,,,,,,,,,
\ or /,Glissando,Sliding pitch down or up.,Collapse: The ego losing its grip on the structure.,,,,,,,,,,,,,,,,,,
(Tacet),Silence,The instrument does not play.,Repression: The voice is silenced or absent.,,,,,,,,,,,,,,,,,,
