BEAT,SPEAKER,TEXT,TRAUMA_R,ENTROPY_H,BASELINE_B,ARRHYTHMIA_α,NEO_RIEMANNIAN_OP,CLINICAL_HEALTH_SCORE
27,STAGE,"historical dramas: ""The Saga of the Folkungs,"" ""Gustavus Vasa,""",0.0,0.3,1.0,0.2,R,9/10
28,STAGE,"and ""Eric XIV."" Just before, he had finished ""Advent,"" which he",0.0,0.3,1.0,0.2,R,9/10
29,STAGE,"described as ""A Mystery,"" and which was published together with",0.0,0.3,1.0,0.2,R,9/10
30,STAGE,"""There Are Crimes and Crimes"" under the common title of ""In a",0.0,0.3,1.0,0.2,R,9/10
31,STAGE,"Higher Court."" Back of these dramas lay his strange confessional",0.0,0.3,1.0,0.2,R,9/10
32,STAGE,"works, ""Inferno"" and ""Legends,"" and the first two parts of his",0.0,0.3,1.0,0.2,R,9/10
33,STAGE,"autobiographical dream-play, ""Toward Damascus""--all of which were",0.0,0.4,1.0,0.2,R,9/10
34,STAGE,"finished between May, 1897, and some time in the latter part of",0.0,0.3,1.0,0.2,R,9/10
35,STAGE,"1898. And back of these again lay that period of mental crisis,",0.0,0.3,0.99,0.2,R,9/10
36,STAGE,"when, at Paris, in 1895 and 1896, he strove to make gold by the",0.0,0.3,0.99,0.2,R,9/10
37,STAGE,"transmutation of baser metals, while at the same time his spirit",0.0,0.3,0.99,0.2,R,9/10
38,STAGE,was travelling through all the seven hells in its search for the,0.0,0.3,0.99,0.2,R,9/10
39,STAGE,heaven promised by the great mystics of the past.,0.0,0.3,0.99,0.2,R,9/10
40,STAGE,"""There Are Crimes and Crimes"" may, in fact, be regarded as his",0.0,0.3,0.99,0.2,R,9/10
41,STAGE,"first definite step beyond that crisis, of which the preceding",0.0,0.3,0.99,0.2,R,9/10
42,STAGE,"works were at once the record and closing chord. When, in 1909, he",0.0,0.3,0.99,0.2,R,9/10
43,STAGE,"issued ""The Author,"" being a long withheld fourth part of his",0.0,0.3,0.99,0.2,R,9/10
44,STAGE,"first autobiographical series, ""The Bondwoman's Son,"" he prefixed",0.01,0.3,0.99,0.2,R,9/10
45,STAGE,to it an analytical summary of the entire body of his work.,0.01,0.3,0.99,0.2,R,9/10
46,STAGE,Opposite the works from 1897-8 appears in this summary the,0.01,0.3,0.99,0.2,R,9/10
47,STAGE,"following passage: ""The great crisis at the age of fifty;",0.01,0.3,0.99,0.2,R,9/10
48,STAGE,"revolutions in the life of the soul, desert wanderings,",0.01,0.3,0.99,0.2,R,9/10
49,STAGE,"Swedenborgian Heavens and Hells."" But concerning ""There Are Crimes",0.01,0.3,0.99,0.2,R,9/10
50,STAGE,"and Crimes"" and the three historical dramas from the same year he",0.01,0.3,0.99,0.2,R,9/10
51,STAGE,"writes triumphantly: ""Light after darkness; new productivity, with",0.01,0.3,0.99,0.2,R,9/10
52,STAGE,"recovered Faith, Hope and Love--and with full, rock-firm",0.01,0.4,0.99,0.2,R,9/10
53,STAGE,"Certitude.""",0.01,0.3,0.99,0.2,R,9/10
54,STAGE,"In its German version the play is named ""Rausch,"" or",0.01,0.3,0.99,0.2,R,9/10
55,STAGE,"""Intoxication,"" which indicates the part played by the champagne",0.01,0.3,0.99,0.2,R,9/10
56,STAGE,in the plunge of _Maurice_ from the pinnacles of success to the,0.01,0.3,0.99,0.2,R,9/10
57,STAGE,depths of misfortune. Strindberg has more and more come to see,0.01,0.3,0.99,0.2,R,9/10
58,STAGE,that a moderation verging closely on asceticism is wise for most,0.01,0.3,0.99,0.2,R,9/10
59,STAGE,men and essential to the man of genius who wants to fulfil his,0.01,0.3,0.99,0.2,R,9/10
60,STAGE,divine mission. And he does not scorn to press home even this,0.01,0.3,0.99,0.2,R,9/10
61,STAGE,comparatively humble lesson with the naive directness and fiery,0.01,0.3,0.99,0.2,R,9/10
62,STAGE,zeal which form such conspicuous features of all his work.,0.01,0.3,0.99,0.2,R,9/10
63,STAGE,"But in the title which bound it to ""Advent"" at their joint",0.01,0.3,0.99,0.2,R,9/10
64,STAGE,publication we have a better clue to what the author himself,0.01,0.3,0.99,0.2,R,9/10
65,STAGE,undoubtedly regards as the most important element of his work--its,0.01,0.4,0.99,0.2,R,9/10
66,STAGE,"religious tendency. The ""higher court,"" in which are tried the",0.01,0.3,0.99,0.2,R,9/10
67,STAGE,"crimes of _Maurice_, _Adolphe_, and _Henriette_, is, of course,",0.01,0.3,0.99,0.2,R,9/10
68,STAGE,the highest one that man can imagine. And the crimes of which they,0.01,0.3,0.99,0.2,R,9/10
69,STAGE,"have all become guilty are those which, as _Adolphe_ remarks, ""are",0.01,0.3,0.99,0.2,R,9/10
70,STAGE,"not mentioned in the criminal code""--in a word, crimes against the",0.01,0.4,0.99,0.2,R,9/10
71,STAGE,"spirit, against the impalpable power that moves us, against God.",0.01,0.3,0.99,0.2,R,9/10
72,STAGE,"The play, seen in this light, pictures a deep-reaching spiritual",0.01,0.3,0.99,0.2,R,9/10
73,STAGE,"change, leading us step by step from the soul adrift on the waters",0.01,0.3,0.99,0.2,R,9/10
74,STAGE,of life to the state where it is definitely oriented and impelled.,0.01,0.3,0.99,0.2,R,9/10
75,STAGE,There are two distinct currents discernible in this dramatic,0.01,0.3,0.99,0.2,R,9/10
76,STAGE,revelation of progress from spiritual chaos to spiritual order--,0.01,0.4,0.99,0.2,R,9/10
77,STAGE,"for to order the play must be said to lead, and progress is",0.01,0.3,0.99,0.2,R,9/10
78,STAGE,"implied in its onward movement, if there be anything at all in our",0.01,0.3,0.99,0.2,R,9/10
79,STAGE,growing modern conviction that _any_ vital faith is better than none,0.01,0.3,0.99,0.2,R,9/10
80,STAGE,at all. One of the currents in question refers to the means rather,0.01,0.3,0.99,0.2,R,9/10
81,STAGE,"than the end, to the road rather than the goal. It brings us back",0.01,0.3,0.99,0.2,R,9/10
82,STAGE,to those uncanny soul-adventures by which Strindberg himself won,0.01,0.3,0.99,0.2,R,9/10
83,STAGE,"his way to the ""full, rock-firm Certitude"" of which the play in",0.01,0.3,0.99,0.2,R,9/10
84,STAGE,its entirety is the first tangible expression. The elements,0.01,0.3,0.99,0.2,R,9/10
85,STAGE,"entering into this current are not only mystical, but occult. They",0.01,0.3,0.99,0.2,R,9/10
86,STAGE,"are derived in part from Swedenborg, and in part from that",0.01,0.3,0.99,0.2,R,9/10
87,STAGE,"picturesque French dreamer who signs himself ""Sar Péladan""; but",0.01,0.3,0.99,0.2,R,9/10
88,STAGE,mostly they have sprung out of Strindberg's own experiences in,0.01,0.3,0.99,0.2,R,9/10
89,STAGE,moments of abnormal tension.,0.01,0.3,0.99,0.2,R,9/10
90,STAGE,"What happened, or seemed to happen, to himself at Paris in 1895,",0.01,0.3,0.99,0.2,R,9/10
91,STAGE,and what he later described with such bewildering exactitude in,0.01,0.3,0.99,0.2,R,9/10
92,STAGE,"his ""Inferno"" and ""Legends,"" all this is here presented in",0.01,0.3,0.99,0.2,R,9/10
93,STAGE,"dramatic form, but a little toned down, both to suit the needs of",0.01,0.3,0.99,0.2,R,9/10
94,STAGE,the stage and the calmer mood of the author. Coincidence is law.,0.01,0.3,0.99,0.2,R,9/10
95,STAGE,"It is the finger-point of Providence, the signal to man that he",0.01,0.3,0.99,0.2,R,9/10
96,STAGE,must beware. Mystery is the gospel: the secret knitting of man to,0.01,0.3,0.99,0.2,R,9/10
97,STAGE,"man, of fact to fact, deep beneath the surface of visible and",0.01,0.3,0.99,0.2,R,9/10
98,STAGE,audible existence. Few writers could take us into such a realm of,0.01,0.3,0.99,0.2,R,9/10
99,STAGE,probable impossibilities and possible improbabilities without,0.01,0.3,0.99,0.2,R,9/10
100,STAGE,losing all claim to serious consideration. If Strindberg has thus,0.01,0.3,0.99,0.2,R,9/10
101,STAGE,"ventured to our gain and no loss of his own, his success can be",0.01,0.3,0.99,0.2,R,9/10
102,STAGE,"explained only by the presence in the play of that second,",0.01,0.3,0.99,0.2,R,9/10
103,STAGE,parallel current of thought and feeling.,0.01,0.3,0.99,0.2,R,9/10
104,STAGE,This deeper current is as simple as the one nearer the surface is,0.01,0.3,0.98,0.2,R,9/10
105,STAGE,"fantastic. It is the manifestation of that ""rock-firm Certitude""",0.01,0.3,0.98,0.2,R,9/10
106,STAGE,to which I have already referred. And nothing will bring us nearer,0.01,0.3,0.98,0.2,R,9/10
107,STAGE,"to it than Strindberg's own confession of faith, given in his",0.01,0.3,0.98,0.2,R,9/10
108,STAGE,"""Speeches to the Swedish Nation"" two years ago. In that pamphlet",0.01,0.3,0.98,0.2,R,9/10
109,STAGE,"there is a chapter headed ""Religion,"" in which occurs this",0.01,0.3,0.98,0.2,R,9/10
110,STAGE,"passage: ""Since 1896 I have been calling myself a Christian. I am",0.01,0.3,0.98,0.2,R,9/10
111,STAGE,"not a Catholic, and have never been, but during a stay of seven",0.01,0.3,0.98,0.2,R,9/10
112,STAGE,"years in Catholic countries and among Catholic relatives, I",0.01,0.3,0.98,0.2,R,9/10
113,STAGE,discovered that the difference between Catholic and Protestant,0.01,0.3,0.98,0.2,R,9/10
114,STAGE,"tenets is either none at all, or else wholly superficial, and that",0.01,0.3,0.98,0.2,R,9/10
115,STAGE,the division which once occurred was merely political or else,0.01,0.3,0.98,0.2,R,9/10
116,STAGE,concerned with theological problems not fundamentally germane to,0.01,0.3,0.98,0.2,R,9/10
117,STAGE,"the religion itself. A registered Protestant I am and will remain,",0.01,0.3,0.98,0.2,R,9/10
118,STAGE,"but I can hardly be called orthodox or evangelistic, but come",0.01,0.3,0.98,0.2,R,9/10
119,STAGE,nearest to being a Swedenborgian. I use my Bible Christianity,0.01,0.3,0.98,0.2,R,9/10
120,STAGE,internally and privately to tame my somewhat decivilized nature--,0.01,0.4,0.98,0.2,R,9/10
121,STAGE,decivilised by that veterinary philosophy and animal science,0.01,0.3,0.98,0.2,R,9/10
122,STAGE,And I assure my fellow-beings that they have no right to complain,0.01,0.3,0.98,0.2,R,9/10
123,STAGE,"because, according to my ability, I practise the Christian",0.01,0.3,0.98,0.2,R,9/10
124,STAGE,"teachings. For only through religion, or the hope of something",0.01,0.3,0.98,0.2,R,9/10
125,STAGE,"better, and the recognition of the innermost meaning of life as",0.01,0.3,0.98,0.2,R,9/10
126,STAGE,"that of an ordeal, a school, or perhaps a penitentiary, will it be",0.01,0.3,0.98,0.2,R,9/10
127,STAGE,"possible to bear the burden of life with sufficient resignation.""",0.01,0.3,0.98,0.2,R,9/10
128,STAGE,"Here, as elsewhere, it is made patent that Strindberg's",0.11,0.3,0.98,0.2,R,8/10
129,STAGE,"religiosity always, on closer analysis, reduces itself to",0.01,0.3,0.98,0.2,R,9/10
130,STAGE,"morality. At bottom he is first and last, and has always been, a",0.02,0.3,0.98,0.2,R,9/10
131,STAGE,moralist--a man passionately craving to know what is RIGHT and to,0.02,0.4,0.98,0.2,R,9/10
132,STAGE,"do it. During the middle, naturalistic period of his creative",0.02,0.3,0.98,0.2,R,9/10
133,STAGE,"career, this fundamental tendency was in part obscured, and he",0.02,0.3,0.98,0.2,R,9/10
134,STAGE,"engaged in the game of intellectual curiosity known as ""truth for",0.02,0.3,0.98,0.2,R,9/10
135,STAGE,"truth's own sake."" One of the chief marks of his final and",0.02,0.3,0.98,0.2,R,9/10
136,STAGE,"mystical period is his greater courage to ""be himself"" in this",0.02,0.3,0.98,0.2,R,9/10
137,STAGE,"respect--and this means necessarily a return, or an advance, to a",0.02,0.4,0.98,0.2,R,9/10
138,STAGE,position which the late William James undoubtedly would have,0.02,0.3,0.98,0.2,R,9/10
139,STAGE,"acknowledged as ""pragmatic."" To combat the assertion of",0.02,0.3,0.98,0.2,R,9/10
140,STAGE,"over-developed individualism that we are ends in ourselves,",0.02,0.3,0.98,0.2,R,9/10
141,STAGE,"that we have certain inalienable personal ""rights"" to pleasure",0.02,0.3,0.98,0.2,R,9/10
142,STAGE,and happiness merely because we happen to appear here in human,0.02,0.3,0.98,0.2,R,9/10
143,STAGE,"shape, this is one of Strindberg's most ardent aims in all his",0.02,0.3,0.98,0.2,R,9/10
144,STAGE,later works.,0.02,0.3,0.98,0.2,R,9/10
145,STAGE,As to the higher and more inclusive object to which our lives must,0.02,0.3,0.98,0.2,R,9/10
146,STAGE,"be held subservient, he is not dogmatic. It may be another life.",0.02,0.3,0.98,0.2,R,9/10
147,STAGE,He calls it God. And the code of service he finds in the tenets of,0.02,0.3,0.98,0.2,R,9/10
148,STAGE,"all the Christian churches, but principally in the Commandments.",0.02,0.3,0.98,0.2,R,9/10
149,STAGE,"The plain and primitive virtues, the faith that implies little",0.02,0.3,0.98,0.2,R,9/10
150,STAGE,more than square dealing between man and man--these figure,0.02,0.4,0.98,0.2,R,9/10
151,STAGE,foremost in Strindberg's ideals. In an age of supreme self-seeking,0.02,0.3,0.98,0.2,R,9/10
152,STAGE,"like ours, such an outlook would seem to have small chance of",0.02,0.3,0.98,0.2,R,9/10
153,STAGE,"popularity, but that it embodies just what the time most needs is,",0.02,0.3,0.98,0.2,R,9/10
154,STAGE,"perhaps, made evident by the reception which the public almost",0.12,0.3,0.98,0.2,R,8/10
155,STAGE,"invariably grants ""There Are Crimes and Crimes"" when it is staged.",0.02,0.3,0.98,0.2,R,9/10
156,STAGE,With all its apparent disregard of what is commonly called,0.02,0.3,0.98,0.2,R,9/10
157,STAGE,"realism, and with its occasional, but quite unblushing, use of",0.02,0.3,0.98,0.2,R,9/10
158,STAGE,methods generally held superseded--such as the casual introduction,0.02,0.4,0.98,0.2,R,9/10
159,STAGE,of characters at whatever moment they happen to be needed on the,0.02,0.3,0.98,0.2,R,9/10
160,STAGE,"stage--it has, from the start, been among the most frequently",0.02,0.4,0.98,0.2,R,9/10
161,STAGE,played and most enthusiastically received of Strindberg's later,0.02,0.3,0.98,0.2,R,9/10
162,STAGE,dramas. At Stockholm it was first taken up by the Royal Dramatic,0.02,0.3,0.98,0.2,R,9/10
163,STAGE,"Theatre, and was later seen on the tiny stage of the Intimate",0.02,0.3,0.98,0.2,R,9/10
164,STAGE,"Theatre, then devoted exclusively to Strindberg's works. It was",0.02,0.3,0.98,0.2,R,9/10
165,STAGE,one of the earliest plays staged by Reinhardt while he was still,0.02,0.3,0.98,0.2,R,9/10
166,STAGE,"experimenting with his Little Theatre at Berlin, and it has also",0.02,0.3,0.98,0.2,R,9/10
167,STAGE,"been given in numerous German cities, as well as in Vienna.",0.02,0.3,0.98,0.2,R,9/10
168,STAGE,Concerning my own version of the play I wish to add a word of,0.02,0.3,0.98,0.2,R,9/10
169,STAGE,explanation. Strindberg has laid the scene in Paris. Not only the,0.02,0.3,0.98,0.2,R,9/10
170,STAGE,"scenery, but the people and the circumstances are French. Yet he",0.02,0.3,0.98,0.2,R,9/10
171,STAGE,has made no attempt whatever to make the dialogue reflect French,0.12,0.3,0.98,0.2,R,8/10
172,STAGE,"manners of speaking or ways of thinking. As he has given it to us,",0.02,0.3,0.98,0.2,R,9/10
173,STAGE,"the play is French only in its most superficial aspect, in its",0.02,0.3,0.97,0.2,R,9/10
174,STAGE,setting--and this setting he has chosen simply because he needed a,0.02,0.4,0.97,0.2,R,9/10
175,STAGE,"certain machinery offered him by the Catholic, but not by the",0.02,0.3,0.97,0.2,R,9/10
176,STAGE,"Protestant, churches. The rest of the play is purely human in its",0.02,0.3,0.97,0.2,R,9/10
177,STAGE,note and wholly universal in its spirit. For this reason I have,0.02,0.3,0.97,0.2,R,9/10
178,STAGE,"retained the French names and titles, but have otherwise striven",0.02,0.3,0.97,0.2,R,9/10
179,STAGE,to bring everything as close as possible to our own modes of,0.02,0.3,0.97,0.2,R,9/10
180,STAGE,expression. Should apparent incongruities result from this manner,0.02,0.3,0.97,0.2,R,9/10
181,STAGE,"of treatment, I think they will disappear if only the reader will",0.02,0.3,0.97,0.2,R,9/10
182,STAGE,try to remember that the characters of the play move in an,0.02,0.3,0.97,0.2,R,9/10
183,STAGE,existence cunningly woven by the author out of scraps of ephemeral,0.02,0.3,0.97,0.2,R,9/10
184,STAGE,reality in order that he may show us the mirage of a more enduring,0.02,0.3,0.97,0.2,R,9/10
185,STAGE,one.,0.02,0.3,0.97,0.2,R,9/10
186,STAGE,THERE ARE CRIMES AND CRIMES,0.02,0.3,0.97,0.2,R,9/10
187,STAGE,A COMEDY,0.02,0.3,0.97,0.2,R,9/10
188,STAGE,1899,0.02,0.3,0.97,0.2,R,9/10
189,STAGE,CHARACTERS,0.02,0.3,0.97,0.2,R,9/10
190,STAGE,"MAURICE, a playwright",0.02,0.3,0.97,0.2,R,9/10
191,STAGE,"JEANNE, his mistress",0.02,0.3,0.97,0.2,R,9/10
192,STAGE,"MARION, their daughter, five years old",0.02,0.3,0.97,0.2,R,9/10
193,STAGE,"ADOLPHE, a painter",0.02,0.3,0.97,0.2,R,9/10
194,STAGE,"HENRIETTE, his mistress",0.02,0.3,0.97,0.2,R,9/10
195,STAGE,"EMILE, a workman, brother of Jeanne",0.02,0.3,0.97,0.2,R,9/10
196,STAGE,MADAME CATHERINE,0.12,0.3,0.97,0.2,R,8/10
197,STAGE,THE ABBÉ,0.02,0.3,0.97,0.2,R,9/10
198,STAGE,A WATCHMAN,0.02,0.3,0.97,0.2,R,9/10
199,STAGE,A HEAD WAITER,0.02,0.3,0.97,0.2,R,9/10
200,STAGE,A COMMISSAIRE,0.02,0.3,0.97,0.2,R,9/10
201,STAGE,TWO DETECTIVES,0.02,0.3,0.97,0.2,R,9/10
202,STAGE,A WAITER,0.02,0.3,0.97,0.2,R,9/10
203,STAGE,A GUARD,0.02,0.3,0.97,0.2,R,9/10
204,STAGE,SERVANT GIRL,0.02,0.3,0.97,0.2,R,9/10
205,STAGE,"ACT I, SCENE 1. THE CEMETERY",0.02,0.3,0.97,0.2,R,9/10
206,STAGE,2. THE CRÊMERIE,0.02,0.3,0.97,0.2,R,9/10
207,STAGE,"ACT II, SCENE 1. THE AUBERGE DES ADRETS",0.02,0.3,0.97,0.2,R,9/10
208,STAGE,2. THE BOIS DE BOULOGNE,0.02,0.3,0.97,0.2,R,9/10
209,STAGE,"ACT III, SCENE 1. THE CRÊMERIE",0.02,0.3,0.97,0.2,R,9/10
210,STAGE,2. THE AUBERGE DES ADRETS,0.02,0.3,0.97,0.2,R,9/10
211,STAGE,"ACT IV, SCENE 1. THE LUXEMBOURG GARDENS",0.02,0.3,0.97,0.2,R,9/10
212,STAGE,2. THE CRÊMERIE,0.02,0.3,0.97,0.2,R,9/10
213,STAGE,THERE ARE CRIMES AND CRIMES,0.02,0.3,0.97,0.2,R,9/10
214,STAGE,ACT I FIRST SCENE,0.02,0.3,0.97,0.2,R,9/10
215,STAGE,"Paris. The background shows mortuary chapels, stone crosses on",0.02,0.3,0.97,0.2,R,9/10
216,STAGE,"which are inscribed ""O Crux! Ave Spes Unica!"" and the ruins of a",0.03,0.6,0.97,0.2,R,9/10
217,STAGE,wind-mill covered with ivy.),0.03,0.3,0.97,0.2,R,9/10
218,STAGE,prayers in front of a grave decorated with flowers.),0.03,0.3,0.97,0.2,R,9/10
219,STAGE,rubbish heap on the ground.),0.03,0.3,0.97,0.2,R,9/10
220,STAGE,end of the avenue.),0.03,0.3,0.97,0.2,R,9/10
221,WATCHMAN,"[Enters and goes up to JEANNE] Look here, this is no",0.03,0.3,0.97,0.7,R,9/10
222,WATCHMAN,playground.,0.03,0.3,0.97,0.2,R,9/10
223,JEANNE,[Submissively] I am only waiting for somebody who'll soon,0.03,0.3,0.97,0.7,R,9/10
224,JEANNE,be here--,0.03,0.4,0.97,0.2,R,9/10
225,WATCHMAN,"All right, but you're not allowed to pick any flowers.",0.03,0.3,0.97,0.7,R,9/10
226,JEANNE,"[To MARION] Drop the flowers, dear.",0.03,0.3,0.97,0.7,R,9/10
227,JEANNE,ABBÉ. [Comes forward and is saluted by the WATCHMAN] Can't the,0.03,0.3,0.97,0.2,R,9/10
228,JEANNE,child play with the flowers that have been thrown away?,0.03,0.5,0.97,0.2,R,9/10
229,WATCHMAN,The regulations don't permit anybody to touch even the,0.03,0.3,0.97,0.7,R,9/10
230,WATCHMAN,"flowers that have been thrown away, because it's believed they may",0.03,0.3,0.97,0.2,R,9/10
231,WATCHMAN,spread infection--which I don't know if it's true.,0.03,0.4,0.97,0.2,R,9/10
232,WATCHMAN,"ABBÉ. [To MARION] In that case we have to obey, of course. What's",0.03,0.3,0.97,0.2,R,9/10
233,WATCHMAN,"your name, my little girl?",0.03,0.5,0.97,0.2,R,9/10
234,MARION,My name is Marion.,0.03,0.3,0.97,0.7,R,9/10
235,MARION,ABBÉ. And who is your father?,0.03,0.5,0.97,0.2,R,9/10
236,MARION,"ABBÉ. Pardon my question, madame. I had no intention--I was just",0.13,0.4,0.97,0.2,R,8/10
237,MARION,talking to keep the little one quiet.,0.03,0.3,0.97,0.2,R,9/10
238,JEANNE,"I understood it, Reverend Father, and I wish you would say",0.03,0.3,0.97,0.7,R,9/10
239,JEANNE,something to quiet me also. I feel very much disturbed after,0.03,0.3,0.97,0.2,R,9/10
240,JEANNE,having waited here two hours.,0.03,0.3,0.97,0.2,R,9/10
241,JEANNE,ABBÉ. Two hours--for him! How these human beings torture each,0.03,0.55,0.97,0.2,R,9/10
242,JEANNE,other! O Crux! Ave spes unica!,0.03,0.75,0.96,0.2,R,9/10
243,JEANNE,"What do they mean, those words you read all around here?",0.03,0.5,0.96,0.2,R,9/10
244,JEANNE,"ABBÉ. They mean: O cross, our only hope!",0.03,0.45,0.96,0.2,R,9/10
245,JEANNE,Is it the only one?,0.03,0.5,0.96,0.2,R,9/10
246,JEANNE,ABBÉ. The only certain one.,0.03,0.3,0.96,0.2,R,9/10
247,JEANNE,"I shall soon believe that you are right, Father.",0.03,0.3,0.96,0.2,R,9/10
248,JEANNE,ABBÉ. May I ask why?,0.03,0.5,0.96,0.2,R,9/10
249,JEANNE,You have already guessed it. When he lets the woman and,0.03,0.3,0.96,0.2,R,9/10
250,JEANNE,"the child wait two hours in a cemetery, then the end is not far",0.03,0.3,0.96,0.2,R,9/10
251,JEANNE,off.,0.03,0.3,0.96,0.2,R,9/10
252,JEANNE,"ABBÉ. And when he has left you, what then?",0.03,0.5,0.96,0.2,R,9/10
253,JEANNE,Then we have to go into the river.,0.03,0.3,0.96,0.2,R,9/10
254,JEANNE,"ABBÉ. Oh, no, no!",0.03,0.45,0.96,0.2,R,9/10
255,JEANNE,"Yes, yes!",0.03,0.45,0.96,0.2,R,9/10
256,MARION,"Mamma, I want to go home, for I am hungry.",0.03,0.3,0.96,0.7,R,9/10
257,JEANNE,"Just a little longer, dear, and we'll go home.",0.03,0.3,0.96,0.7,R,9/10
258,JEANNE,ABBÉ. Woe unto those who call evil good and good evil.,0.03,0.3,0.96,0.2,R,9/10
259,JEANNE,What is that woman doing at the grave over there?,0.03,0.5,0.96,0.2,R,9/10
260,JEANNE,ABBÉ. She seems to be talking to the dead.,0.03,0.3,0.96,0.2,R,9/10
261,JEANNE,But you cannot do that?,0.03,0.5,0.96,0.2,R,9/10
262,JEANNE,ABBÉ. She seems to know how.,0.03,0.3,0.96,0.2,R,9/10
263,JEANNE,This would mean that the end of life is not the end of our,0.03,0.3,0.96,0.2,R,9/10
264,JEANNE,misery?,0.03,0.5,0.96,0.2,R,9/10
265,JEANNE,ABBÉ. And you don't know it?,0.03,0.5,0.96,0.2,R,9/10
266,JEANNE,Where can I find out?,0.03,0.5,0.96,0.2,R,9/10
267,JEANNE,ABBÉ. Hm! The next time you feel as if you wanted to learn about,0.03,0.45,0.96,0.2,R,9/10
268,JEANNE,"this well-known matter, you can look me up in Our Lady's Chapel at",0.03,0.3,0.96,0.2,R,9/10
269,JEANNE,"the Church of St. Germain--Here comes the one you are waiting for,",0.03,0.4,0.96,0.2,R,9/10
270,JEANNE,I guess.,0.03,0.3,0.96,0.2,R,9/10
271,JEANNE,"[Embarrassed] No, he is not the one, but I know him.",0.03,0.3,0.96,0.2,R,9/10
272,JEANNE,"ABBÉ. [To MARION] Good-bye, little Marion! May God take care of",0.03,0.45,0.96,0.2,R,9/10
273,JEANNE,you! [Kisses the child and goes out] At St. Germain des Prés.,0.03,0.45,0.96,0.2,R,9/10
274,EMILE,"[Enters] Good morning, sister. What are you doing here?",0.03,0.5,0.96,0.7,R,9/10
275,JEANNE,I am waiting for Maurice.,0.03,0.3,0.96,0.7,R,9/10
276,EMILE,"Then I guess you'll have a lot of waiting to do, for I saw",0.03,0.3,0.96,0.7,R,9/10
277,EMILE,"him on the boulevard an hour ago, taking breakfast with some",0.03,0.3,0.96,0.2,R,9/10
278,EMILE,"friends. [Kissing the child] Good morning, Marion.",0.03,0.3,0.96,0.2,R,9/10
279,JEANNE,Ladies also?,0.03,0.5,0.96,0.7,R,9/10
280,EMILE,"Of course. But that doesn't mean anything. He writes plays,",0.03,0.3,0.96,0.7,R,9/10
281,EMILE,and his latest one has its first performance tonight. I suppose he,0.03,0.3,0.96,0.2,R,9/10
282,EMILE,had with him some of the actresses.,0.03,0.3,0.96,0.2,R,9/10
283,JEANNE,Did he recognise you?,0.03,0.5,0.96,0.7,R,9/10
284,EMILE,"No, he doesn't know who I am, and it is just as well. I",0.03,0.3,0.96,0.7,R,9/10
285,EMILE,"know my place as a workman, and I don't care for any condescension",0.03,0.3,0.96,0.2,R,9/10
286,EMILE,from those that are above me.,0.03,0.3,0.96,0.2,R,9/10
